DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
2005-10-25,1584.34,1590.05,1573.66,1585.82,350443200.0
2005-10-26,1578.21,1593.47,1573.14,1575.14,415095700.0
2005-10-27,1571.87,1573.8,1543.38,1543.38,363444200.0
2005-10-28,1546.41,1557.57,1538.78,1557.11,491576500.0
2005-10-31,1559.67,1584.09,1559.84,1579.18,497256600.0
2005-11-01,1572.77,1582.67,1571.19,1576.52,487849600.0
2005-11-02,1570.59,1600.75,1570.75,1597.29,592366500.0
2005-11-03,1611.85,1626.48,1610.9,1619.67,576106200.0
2005-11-04,1621.27,1631.79,1616.84,1628.03,383218100.0
2005-11-07,1631.35,1634.53,1621.5,1629.27,515949700.0
2005-11-08,1624.42,1636.84,1623.16,1628.4,364988600.0
2005-11-09,1628.4,1636.36,1624.55,1630.21,362840200.0
2005-11-10,1630.28,1651.05,1620.74,1650.93,474213200.0
2005-11-11,1654.18,1659.72,1651.09,1653.36,316682400.0
2005-11-14,1652.64,1657.53,1648.26,1651.9,287381200.0
2005-11-15,1651.2,1658.65,1638.97,1644.31,372616700.0
2005-11-16,1649.75,1653.74,1642.36,1651.45,435943600.0
2005-11-17,1659.94,1676.39,1657.27,1676.39,455104700.0
2005-11-18,1691.09,1689.59,1674.75,1679.85,569132200.0
2005-11-21,1677.72,1686.79,1673.05,1686.23,396439600.0
2005-11-22,1680.74,1698.32,1679.1,1694.14,467868400.0
2005-11-23,1691.33,1704.42,1691.08,1696.77,400456300.0
2005-11-25,1699.38,1701.06,1693.33,1701.05,176900000.0
2005-11-28,1701.05,1703.08,1683.83,1684.39,343923100.0
2005-11-29,1693.03,1697.58,1676.76,1676.84,414302700.0
2005-11-30,1674.9,1683.62,1671.34,1672.56,415147400.0
2005-12-01,1683.06,1705.19,1683.39,1704.28,450641200.0
2005-12-02,1701.68,1709.1,1698.9,1709.1,380815800.0
2005-12-05,1704.11,1704.94,1689.6,1694.77,393694400.0
2005-12-06,1705.85,1716.65,1700.16,1701.35,401037800.0
2005-12-07,1703.71,1706.12,1688.9,1697.04,404267000.0
2005-12-08,1699.75,1702.84,1674.74,1685.59,460664000.0
2005-12-09,1686.56,1694.13,1679.22,1692.62,429941200.0
