,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
1990-06-25,355.42,356.41,351.91,352.31,104808700.0
1990-06-26,352.32,356.09,351.85,352.06,111650500.0
1990-06-27,352.06,355.89,351.23,355.14,106131400.0
1990-06-28,355.16,357.63,355.14,357.63,102855100.0
1990-06-29,357.64,359.09,357.3,358.02,107803300.0
1990-07-02,358.02,359.58,357.54,359.54,85227300.0
1990-07-03,359.54,360.73,359.44,360.16,93436900.0
1990-07-05,360.16,360.16,354.86,355.68,98505900.0
1990-07-06,355.69,359.02,354.64,358.42,84129700.0
1990-07-09,358.42,360.05,358.11,359.52,88644700.0
1990-07-10,359.52,359.74,356.41,356.49,113430900.0
1990-07-11,356.49,361.23,356.49,361.23,133244000.0
1990-07-12,361.23,365.46,360.57,365.44,162957000.0
1990-07-13,365.45,369.68,365.44,367.31,168883500.0
1990-07-16,367.31,369.78,367.31,368.95,115918200.0
1990-07-17,368.95,369.4,364.99,367.52,149961400.0
1990-07-18,367.52,367.52,362.95,364.22,146777100.0
1990-07-19,364.22,365.32,361.29,365.32,146560500.0
1990-07-20,365.32,366.64,361.58,361.61,148881000.0
1990-07-23,361.61,361.61,350.09,355.31,169197200.0
1990-07-24,355.31,356.09,351.46,355.79,142789300.0
1990-07-25,355.79,357.52,354.8,357.09,122903600.0
1990-07-26,357.09,357.47,353.95,355.91,126675800.0
1990-07-27,355.9,355.94,352.14,353.44,115881700.0
1990-07-30,353.44,355.55,351.15,355.55,113889400.0
1990-07-31,355.55,357.54,353.91,356.15,134714700.0
1990-08-01,356.15,357.35,353.82,355.52,136357400.0
1990-08-02,355.52,355.52,349.73,351.48,195515700.0
1990-08-03,351.48,351.48,338.2,344.86,240015000.0
1990-08-06,344.86,344.86,333.27,334.43,191237500.0
1990-08-07,334.43,338.63,332.22,334.83,185369000.0
1990-08-08,334.83,339.21,334.83,338.35,160857800.0
1990-08-09,338.4,340.56,337.56,339.94,117707000.0
1990-08-10,339.9,339.94,334.22,335.52,116246700.0
1990-08-13,335.39,338.88,332.02,338.84,93796700.0
1990-08-14,338.77,340.96,337.19,339.39,98457400.0
1990-08-15,339.38,341.92,339.38,340.06,104506500.0
1990-08-16,340.06,340.06,332.39,332.39,111686600.0
1990-08-17,332.36,332.39,324.63,327.83,178702200.0
1990-08-20,327.8,329.9,327.07,328.51,103310400.0
1990-08-21,328.35,328.51,318.78,321.86,159493500.0
1990-08-22,321.89,324.15,316.55,316.55,140249700.0
1990-08-23,316.53,316.55,306.56,307.06,196155900.0
1990-08-24,307.06,311.65,306.18,311.51,159180400.0
1990-08-27,311.55,323.11,311.55,321.44,127715800.0
1990-08-28,321.32,322.2,320.25,321.34,101645600.0
1990-08-29,321.34,325.83,320.87,324.19,110662700.0
1990-08-30,324.19,324.57,317.82,318.71,97528600.0
1990-08-31,318.71,322.57,316.59,322.56,75290300.0
1990-09-04,322.56,323.09,319.11,323.09,71241100.0
1990-09-05,323.09,324.52,320.99,324.39,91596600.0
1990-09-06,324.39,324.39,319.37,320.46,100854600.0
1990-09-07,320.46,324.18,319.71,323.4,106337400.0
1990-09-10,323.42,326.53,320.31,321.63,95419400.0
1990-09-11,321.63,322.18,319.6,321.04,91871100.0
1990-09-12,321.04,322.55,319.6,322.54,103628100.0
1990-09-13,322.51,322.54,318.02,318.65,97556900.0
1990-09-14,318.65,318.65,314.76,316.83,109434500.0
1990-09-17,315.35,318.05,315.21,317.77,91010000.0
1990-09-18,317.77,318.85,314.27,318.6,115030900.0
1990-09-19,318.6,319.35,316.25,316.6,118771100.0
1990-09-20,316.6,316.6,310.55,311.48,116842900.0
1990-09-21,311.53,312.17,307.98,311.32,172178000.0
1990-09-24,311.3,311.32,303.58,304.59,130508300.0
1990-09-25,304.93,308.27,304.23,308.26,120699700.0
1990-09-26,308.26,308.28,303.05,305.06,126966000.0
1990-09-27,305.06,307.47,299.1,300.97,149999300.0
1990-09-28,300.97,306.05,295.98,306.05,163153500.0
1990-10-01,306.12,314.94,306.05,314.94,164988800.0
1990-10-02,315.01,319.69,314.94,315.21,150295400.0
1990-10-03,315.21,316.26,310.7,311.4,107726400.0
1990-10-04,311.4,313.4,308.59,312.69,115588100.0
1990-10-05,312.69,314.79,305.76,311.5,121994400.0
1990-10-08,311.62,315.03,311.5,313.48,73535400.0
1990-10-09,313.35,313.48,305.09,305.1,117438600.0
1990-10-10,305.07,306.43,299.21,300.39,138488500.0
1990-10-11,300.47,301.45,294.51,295.46,153952900.0
1990-10-12,295.45,301.68,295.22,300.03,155682300.0
1990-10-15,300.03,304.79,296.41,303.23,140359700.0
1990-10-16,303.23,304.34,298.12,298.92,121083800.0
1990-10-17,298.92,301.5,297.79,298.76,135465600.0
1990-10-18,298.75,305.74,298.75,305.74,170309600.0
1990-10-19,305.74,312.48,305.74,312.48,194145000.0
1990-10-22,312.45,315.83,310.47,314.76,125849300.0
1990-10-23,314.76,315.06,312.06,312.36,113920000.0
1990-10-24,312.36,313.51,310.74,312.6,118742500.0
1990-10-25,312.6,313.71,309.7,310.17,111999800.0
1990-10-26,310.17,310.17,304.71,304.71,106194200.0
1990-10-29,304.74,307.41,300.69,301.88,107553600.0
1990-10-30,301.88,304.36,299.44,304.06,119633700.0
1990-10-31,304.06,305.7,302.33,304.0,126508300.0
1990-11-01,303.99,307.27,301.61,307.02,122346300.0
1990-11-02,307.02,311.94,306.88,311.85,136248700.0
1990-11-05,311.85,314.61,311.41,314.59,116696500.0
1990-11-06,314.59,314.76,311.43,311.62,111255000.0
1990-11-07,311.62,311.62,305.79,306.01,120724200.0
1990-11-08,306.01,309.77,305.03,307.61,123457900.0
1990-11-09,307.61,313.78,307.61,313.74,114827900.0
1990-11-12,313.73,319.77,313.73,319.48,127625400.0
1990-11-13,319.46,319.48,317.26,317.67,132360900.0
1990-11-14,317.66,321.7,317.23,320.4,141967200.0
1990-11-15,320.4,320.4,316.13,317.02,121916900.0
1990-11-16,317.02,318.8,314.99,317.12,156417600.0
1990-11-19,317.19,319.39,317.12,319.34,115500000.0
1990-11-20,319.29,319.34,315.31,315.31,143357200.0
1990-11-21,315.29,316.15,312.42,316.03,114532400.0
1990-11-23,315.96,317.3,315.06,315.1,48441850.0
1990-11-26,314.91,316.51,311.48,316.51,104297600.0
1990-11-27,316.53,318.69,315.79,318.1,117372800.0
1990-11-28,318.08,319.96,317.62,317.95,114166100.0
1990-11-29,317.95,317.95,315.03,316.42,108646400.0
1990-11-30,316.42,323.02,315.42,322.22,161660200.0
1990-12-03,322.23,324.9,322.23,324.1,141932800.0
1990-12-04,324.11,326.77,321.97,326.35,150110300.0
1990-12-05,326.36,329.92,325.66,329.92,162034900.0
1990-12-06,329.94,333.98,328.37,329.07,217449000.0
1990-12-07,329.09,329.39,326.39,327.75,132510000.0
1990-12-10,327.72,328.97,326.15,328.89,103761100.0
1990-12-11,328.88,328.89,325.65,326.44,111971500.0
1990-12-12,326.44,330.36,326.44,330.19,142340700.0
1990-12-13,330.14,330.58,328.77,329.34,120890400.0
1990-12-14,328.38,329.34,325.16,326.82,111995400.0
1990-12-17,326.77,326.82,324.46,326.02,83660000.0
1990-12-18,326.02,330.43,325.75,330.05,130156400.0
1990-12-19,330.04,330.8,329.39,330.2,134602900.0
1990-12-20,330.2,330.74,326.94,330.12,130440300.0
1990-12-21,330.12,332.47,330.12,331.75,190653400.0
1990-12-24,331.74,331.74,329.16,329.9,37793200.0
1990-12-26,329.89,331.69,329.89,330.85,53446800.0
1990-12-27,330.85,331.04,328.23,328.29,71507900.0
1990-12-28,328.29,328.72,327.24,328.72,76796000.0
1990-12-31,328.71,330.23,327.5,330.22,71995100.0
1991-01-02,330.2,330.75,326.45,326.45,99750700.0
1991-01-03,326.46,326.53,321.9,321.91,115937100.0
1991-01-04,321.91,322.35,318.87,321.0,114279700.0
1991-01-07,320.97,321.0,315.44,315.44,100539900.0
1991-01-08,315.44,316.97,313.79,314.9,116534800.0
1991-01-09,314.9,320.73,310.93,311.49,161879300.0
1991-01-10,311.51,314.77,311.49,314.53,100321900.0
1991-01-11,314.53,315.24,313.59,315.23,102032900.0
1991-01-14,315.23,315.23,309.35,312.49,99228500.0
1991-01-15,312.49,313.73,311.84,313.73,86365100.0
1991-01-16,313.73,316.94,312.94,316.17,116786300.0
1991-01-17,316.17,327.97,316.17,327.97,284927900.0
1991-01-18,327.93,332.23,327.08,332.23,220858900.0
1991-01-21,332.21,332.23,328.87,331.06,117914900.0
1991-01-22,331.06,331.26,327.83,328.31,139203100.0
1991-01-23,328.3,331.04,327.93,330.21,132046100.0
1991-01-24,330.21,335.83,330.19,334.78,175163800.0
1991-01-25,334.78,336.92,334.2,336.07,165068600.0
1991-01-28,336.05,337.41,335.81,336.03,111156800.0
1991-01-29,336.03,336.03,334.26,335.84,132295900.0
1991-01-30,335.8,340.91,335.69,340.91,189444300.0
1991-01-31,340.92,343.93,340.47,343.93,165538600.0
1991-02-01,343.91,344.9,340.37,343.05,199069000.0
1991-02-04,343.17,348.71,342.96,348.34,186125400.0
1991-02-05,348.31,351.84,347.21,351.26,215776100.0
1991-02-06,351.26,358.07,349.58,358.07,211626010.0
1991-02-07,358.07,363.43,355.53,356.52,229809000.0
1991-02-08,356.52,359.35,356.02,359.35,144594000.0
1991-02-11,359.32,368.58,359.32,368.58,199699800.0
1991-02-12,368.47,370.54,365.5,365.5,203246100.0
1991-02-13,365.45,369.49,364.64,369.02,160270100.0
1991-02-14,369.03,370.26,362.77,364.22,178232400.0
1991-02-15,364.23,369.49,364.23,369.06,183401200.0
1991-02-19,368.91,370.11,367.05,369.39,144408200.0
1991-02-20,369.21,369.37,364.38,365.14,141843300.0
1991-02-21,365.13,366.79,364.5,364.97,129525600.0
1991-02-22,365.04,370.96,364.23,365.65,166555300.0
1991-02-25,365.65,370.19,365.16,367.26,143800000.0
1991-02-26,365.34,367.26,362.19,362.81,121227200.0
1991-02-27,362.81,368.38,362.81,367.74,153908500.0
1991-02-28,367.73,369.91,365.95,367.07,157640900.0
1991-03-01,367.07,370.47,363.73,370.47,155732000.0
1991-03-04,370.47,371.99,369.07,369.33,132340000.0
1991-03-05,369.33,377.89,369.33,376.72,179862900.0
1991-03-06,376.72,379.66,375.02,376.17,198738000.0
1991-03-07,376.16,377.49,375.58,375.91,148674200.0
1991-03-08,375.91,378.69,374.43,374.95,147929300.0
1991-03-11,374.76,375.1,372.52,372.96,117590618.0
1991-03-12,372.95,374.35,369.55,370.03,126678300.0
1991-03-13,370.03,374.65,370.03,374.57,131109500.0
1991-03-14,374.59,378.28,371.76,373.5,162911800.0
1991-03-15,373.5,374.58,370.21,373.59,198231600.0
1991-03-18,373.53,374.09,369.46,372.11,109740600.0
1991-03-19,371.92,372.11,366.54,366.59,132128200.0
1991-03-20,366.54,368.85,365.8,367.92,144805100.0
1991-03-21,367.94,371.01,366.51,366.58,146027400.0
1991-03-22,366.49,368.22,365.58,367.48,121537200.0
1991-03-25,367.48,371.31,367.46,369.83,104770000.0
1991-03-26,369.83,376.3,369.37,376.3,145904100.0
1991-03-27,376.3,378.48,374.73,375.35,154631400.0
1991-03-28,375.4,376.6,374.4,375.22,107488800.0
1991-04-01,374.93,375.22,370.27,371.3,98697600.0
1991-04-02,371.38,379.5,371.3,379.5,141293000.0
1991-04-03,379.62,381.56,378.49,378.94,160675000.0
1991-04-04,379.02,381.88,377.05,379.77,142680200.0
1991-04-05,379.89,381.12,374.15,375.36,141808800.0
1991-04-08,375.35,378.76,374.69,378.66,91812300.0
1991-04-09,378.65,379.02,373.11,373.56,118392800.0
1991-04-10,373.57,374.83,371.21,373.15,120523300.0
1991-04-11,373.15,379.53,373.15,377.63,150975301.0
1991-04-12,377.65,381.07,376.89,380.4,137277600.0
1991-04-15,380.4,382.32,378.78,381.19,128910900.0
1991-04-16,381.23,387.62,379.64,387.62,156273600.0
1991-04-17,387.62,391.26,387.3,390.45,183738900.0
1991-04-18,390.45,390.97,388.13,388.46,163326100.0
1991-04-19,388.46,388.46,383.9,384.2,152016400.0
1991-04-22,384.13,384.2,380.16,380.95,122681900.0
1991-04-23,380.96,383.55,379.67,381.76,128302400.0
1991-04-24,381.74,383.02,379.99,382.76,123540800.0
1991-04-25,382.89,382.89,378.43,379.25,126471300.0
1991-04-26,379.25,380.11,376.77,379.02,107342500.0
1991-04-29,379.01,380.96,373.66,373.66,112409900.0
1991-04-30,373.66,377.86,373.01,375.35,161544600.0
1991-05-01,375.35,380.46,375.27,380.29,146151600.0
1991-05-02,380.29,382.14,379.82,380.52,123345000.0
1991-05-03,380.52,381.0,378.82,380.8,113653600.0
1991-05-06,380.78,380.78,377.86,380.08,90722100.0
1991-05-07,380.08,380.91,377.31,377.32,109825200.0
1991-05-08,377.33,379.26,376.21,378.51,111873700.0
1991-05-09,378.51,383.56,378.51,383.25,130725800.0
1991-05-10,383.26,383.91,375.61,375.74,126609400.0
1991-05-13,375.74,377.02,374.62,376.76,96739500.0
1991-05-14,375.51,376.76,370.82,371.62,147592800.0
1991-05-15,371.55,372.47,365.83,368.57,152404800.0
1991-05-16,368.57,372.51,368.57,372.19,115794600.0
1991-05-17,372.19,373.01,369.44,372.39,134583300.0
1991-05-20,372.39,373.65,371.26,372.28,81398000.0
1991-05-21,372.29,376.66,372.28,375.35,142375800.0
1991-05-22,375.35,376.5,374.4,376.19,120458600.0
1991-05-23,376.19,378.07,373.55,374.97,125829200.0
1991-05-24,374.97,378.08,374.97,377.49,92026100.0
1991-05-28,377.54,382.1,377.12,381.94,121741700.0
1991-05-29,381.88,383.66,381.37,382.79,150193600.0
1991-05-30,382.79,388.17,382.5,386.96,169803700.0
1991-05-31,386.97,389.85,385.01,389.83,179555590.0
1991-06-03,389.69,389.83,386.97,388.06,134811000.0
1991-06-04,388.0,388.06,385.14,387.74,138601900.0
1991-06-05,387.74,388.23,384.45,385.09,143697900.0
1991-06-06,385.1,385.85,383.13,383.63,123765100.0
1991-06-07,383.63,383.63,378.76,379.43,123454500.0
1991-06-10,379.51,379.75,377.95,378.57,93806400.0
1991-06-11,378.64,381.63,378.57,381.05,114665800.0
1991-06-12,381.01,381.05,374.46,376.65,130069200.0
1991-06-13,376.69,377.9,376.08,377.63,108400570.0
1991-06-14,377.75,382.3,377.63,382.29,128005200.0
1991-06-17,382.31,382.31,380.13,380.13,94775600.0
1991-06-18,380.13,381.83,377.99,378.59,114030400.0
1991-06-19,378.57,378.59,374.36,375.09,118830500.0
1991-06-20,375.09,376.29,373.87,375.42,127038700.0
1991-06-21,375.42,377.75,375.33,377.75,160576600.0
1991-06-24,377.74,377.75,370.73,370.94,104784400.0
1991-06-25,370.94,372.62,369.56,370.65,113502500.0
1991-06-26,370.65,372.73,368.34,371.59,130157400.0
1991-06-27,371.59,374.4,371.59,374.4,117294900.0
1991-06-28,374.4,374.4,367.98,371.16,122710600.0
1991-07-01,371.18,377.92,371.18,377.92,128330700.0
1991-07-02,377.79,377.93,376.62,377.47,123090800.0
1991-07-03,377.41,377.47,372.08,373.33,108162700.0
1991-07-05,373.34,375.51,372.17,374.08,52709000.0
1991-07-08,373.84,377.94,370.92,377.94,108886600.0
1991-07-09,378.02,378.58,375.37,376.11,113307400.0
1991-07-10,376.11,380.35,375.2,375.74,137017100.0
1991-07-11,375.73,377.68,375.51,376.97,112851700.0
1991-07-12,376.97,381.41,375.79,380.25,122627300.0
1991-07-15,380.28,383.0,380.24,382.39,111705700.0
1991-07-16,382.39,382.94,380.8,381.54,127916800.0
1991-07-17,381.5,382.86,381.13,381.18,131129900.0
1991-07-18,381.18,385.37,381.18,385.37,144626700.0
1991-07-19,385.38,385.83,383.65,384.22,135466400.0
1991-07-22,384.23,384.55,381.84,382.88,104175100.0
1991-07-23,382.87,384.86,379.39,379.42,116569000.0
1991-07-24,379.42,380.46,378.29,378.64,116975800.0
1991-07-25,378.64,381.13,378.15,380.96,106209600.0
1991-07-26,380.96,381.76,379.81,380.93,92897200.0
1991-07-29,380.93,383.15,380.45,383.15,91847700.0
1991-07-30,383.15,386.92,383.15,386.69,119212600.0
1991-07-31,386.69,387.81,386.19,387.81,114293700.0
1991-08-01,387.81,387.95,386.48,387.12,124866300.0
1991-08-02,387.12,389.56,386.05,387.18,118074900.0
1991-08-05,387.17,387.17,384.48,385.06,91362800.0
1991-08-06,385.06,390.8,384.29,390.62,129776600.0
1991-08-07,390.62,391.59,389.86,390.56,124951000.0
1991-08-08,390.57,391.8,388.15,389.32,121387400.0
1991-08-09,389.32,389.89,387.04,387.12,108985800.0
1991-08-12,387.06,388.17,385.9,388.02,108955900.0
1991-08-13,388.06,392.12,388.02,389.62,160570200.0
1991-08-14,389.62,391.85,389.13,389.9,147491300.0
1991-08-15,389.91,391.92,389.29,389.33,126660600.0
1991-08-16,389.33,390.41,383.16,385.58,149253000.0
1991-08-19,385.29,385.58,374.09,376.47,175206900.0
1991-08-20,376.63,380.35,376.47,379.43,141715300.0
1991-08-21,379.59,390.59,379.43,390.59,172404900.0
1991-08-22,390.66,391.98,390.21,391.33,128245900.0
1991-08-23,391.28,395.34,390.69,394.17,140661500.0
1991-08-26,394.05,394.39,392.75,393.85,92346000.0
1991-08-27,393.85,393.87,391.77,393.06,98781300.0
1991-08-28,393.06,396.64,393.03,396.64,117987200.0
1991-08-29,396.65,396.82,395.14,396.47,106080900.0
1991-08-30,396.47,396.47,393.6,395.43,91417500.0
1991-09-03,395.42,397.62,392.1,392.15,115177800.0
1991-09-04,392.15,392.62,388.68,389.97,115376600.0
1991-09-05,389.97,390.97,388.49,389.14,117924200.0
1991-09-06,389.14,390.71,387.36,389.1,128230600.0
1991-09-09,389.11,389.34,387.88,388.57,78405000.0
1991-09-10,388.57,388.63,383.78,384.56,104175100.0
1991-09-11,384.56,385.6,383.59,385.09,106850200.0
1991-09-12,385.09,387.34,385.09,387.34,111925200.0
1991-09-13,387.16,387.95,382.85,383.59,131909600.0
1991-09-16,383.59,385.79,382.77,385.78,130003550.0
1991-09-17,385.78,387.13,384.97,385.5,121320400.0
1991-09-18,385.49,386.94,384.28,386.94,97762300.0
1991-09-19,386.94,389.42,386.27,387.56,154099200.0
1991-09-20,387.56,388.82,386.49,387.92,195369500.0
1991-09-23,387.87,388.55,385.76,385.92,106768400.0
1991-09-24,386.02,388.13,384.46,387.71,123806700.0
1991-09-25,387.73,388.25,385.99,386.88,119633600.0
1991-09-26,386.87,388.39,385.3,386.49,116586900.0
1991-09-27,386.49,389.09,384.87,385.9,115593300.0
1991-09-30,385.87,388.29,384.32,387.86,107605400.0
1991-10-01,387.89,389.56,387.86,389.2,116079700.0
1991-10-02,389.18,390.03,387.62,388.26,117062300.0
1991-10-03,388.13,388.26,384.47,384.47,127429300.0
1991-10-04,384.41,385.19,381.24,381.24,115637400.0
1991-10-07,381.27,381.27,379.07,379.5,107619300.0
1991-10-08,379.58,381.23,379.18,380.67,126135500.0
1991-10-09,380.41,380.67,376.35,376.8,142231700.0
1991-10-10,376.96,380.55,376.11,380.55,124994600.0
1991-10-11,380.64,381.46,379.9,381.45,99994900.0
1991-10-14,381.5,386.47,381.45,386.47,91296800.0
1991-10-15,386.47,391.5,385.95,391.01,152760500.0
1991-10-16,391.01,393.29,390.14,392.8,164720400.0
1991-10-17,392.79,393.81,390.32,391.92,158340300.0
1991-10-18,391.92,392.8,391.77,392.5,151694000.0
1991-10-21,392.49,392.5,388.96,390.02,107152200.0
1991-10-22,390.02,391.2,387.4,387.83,139037000.0
1991-10-23,387.83,389.08,386.52,387.94,137442100.0
1991-10-24,387.94,388.32,383.45,385.07,128995300.0
1991-10-25,385.07,386.13,382.97,384.2,116820300.0
1991-10-28,384.49,389.52,384.2,389.52,113151900.0
1991-10-29,389.54,391.7,386.88,391.48,130089600.0
1991-10-30,391.46,393.11,390.78,392.96,129803700.0
1991-10-31,392.96,392.96,391.58,392.46,127594100.0
1991-11-01,392.46,395.1,389.67,391.32,139305100.0
1991-11-04,391.29,391.32,388.09,390.28,111715600.0
1991-11-05,390.28,392.17,388.19,388.71,118207200.0
1991-11-06,388.71,389.97,387.58,389.97,115100700.0
1991-11-07,389.97,393.72,389.97,393.72,141415800.0
1991-11-08,393.72,396.43,392.42,392.89,124113700.0
1991-11-11,392.9,393.57,392.32,393.12,83534000.0
1991-11-12,393.12,397.13,393.12,396.74,135671700.0
1991-11-13,396.74,397.42,394.01,397.41,124728600.0
1991-11-14,397.41,398.22,395.85,397.15,133712300.0
1991-11-15,397.15,397.16,382.62,382.62,165533300.0
1991-11-18,382.62,385.4,379.69,385.24,168103200.0
1991-11-19,385.24,385.24,374.9,379.42,171800700.0
1991-11-20,379.42,381.51,377.84,378.53,145405200.0
1991-11-21,378.53,381.12,377.41,380.06,142878100.0
1991-11-22,380.05,380.05,374.52,376.14,138615500.0
